doc_id,toc_headings_norm,real_headings_norm,toc_items_count,real_items_count,matched_items_count,matched_items,missing_in_document,missing_in_toc,toc_consistency_score,has_toc_detected,toc_status
1999 tcs scanned,[],"['appendix mae characteristics', 'appendix cr-tuav characteristics', 'appendix requirements traceability matrix', 'appendix mae applicable capability criteria and characteristics', 'appendix cr-tuav applicable capability criteria and characteristics']",0,5,0,[],[],"['appendix mae characteristics', 'appendix cr-tuav characteristics', 'appendix requirements traceability matrix', 'appendix mae applicable capability criteria and characteristics', 'appendix cr-tuav applicable capability criteria and characteristics']",0.0,False,no_toc_detected
2001 beyond,[],['references'],0,1,0,[],[],['references'],0.0,False,no_toc_detected
2001 beyond scanned,[],"['introduction', 'references']",0,2,0,[],[],"['introduction', 'references']",0.0,False,no_toc_detected
2001 ctc network,['appendix acronyms'],"['constraints', 'appendix']",1,2,0,[],['appendix acronyms'],"['constraints', 'appendix']",0.0,True,weak
2001 ctc network scanned,[],"['constraints', 'appendix']",0,2,0,[],[],"['constraints', 'appendix']",0.0,False,no_toc_detected
2001 elsfork,[],"['glossary', 'introduction', 'references', 'iec 870-1-3 power system control and associated communications glossary', 'iec61850-02 communication networks and systems in substations glossary', 'appendices']",0,6,0,[],[],"['glossary', 'introduction', 'references', 'iec 870-1-3 power system control and associated communications glossary', 'iec61850-02 communication networks and systems in substations glossary', 'appendices']",0.0,False,no_toc_detected
2001 elsfork scanned,[],"['introduction', 'references', 'appendices']",0,3,0,[],[],"['introduction', 'references', 'appendices']",0.0,False,no_toc_detected
2001 hats,[],"['introduction', 'references', 'general description', 'appendix hats-gui class diagram', 'appendix hats-gui data flow diagram', 'appendix hats-gui state transition diagrams', 'appendix hats-sml communication protocol', 'appendix sdt search criteria', 'appendix text search criteria', 'appendix example sdt display']",0,10,0,[],[],"['introduction', 'references', 'general description', 'appendix hats-gui class diagram', 'appendix hats-gui data flow diagram', 'appendix hats-gui state transition diagrams', 'appendix hats-sml communication protocol', 'appendix sdt search criteria', 'appendix text search criteria', 'appendix example sdt display']",0.0,False,no_toc_detected
2001 hats scanned,"['introduction', 'general description']","['introduction', 'appendix text search criteria', 'appendix hats-gul class diagram', 'appendix hats-gul data flow diagram', 'appendix hats-gui state transition diagrams', 'appendix hats-sml communication protocol', 'appendix sdt search criteria', 'appendix example sdt display']",2,8,1,['introduction'],['general description'],"['appendix text search criteria', 'appendix hats-gul class diagram', 'appendix hats-gul data flow diagram', 'appendix hats-gui state transition diagrams', 'appendix hats-sml communication protocol', 'appendix sdt search criteria', 'appendix example sdt display']",0.125,True,weak
2001 telescope,[],"['constraints', 'appendix']",0,2,0,[],[],"['constraints', 'appendix']",0.0,False,no_toc_detected
2001 telescope scanned,[],"['appendix sections 5 22 5 23 5 24 5 26 5 27', 'appendix']",0,2,0,[],[],"['appendix sections 5 22 5 23 5 24 5 26 5 27', 'appendix']",0.0,False,no_toc_detected
2002 evla back,[],['introduction'],0,1,0,[],[],['introduction'],0.0,False,no_toc_detected
2002 evla back scanned,['introduction'],['introduction'],1,1,1,['introduction'],[],[],1.0,True,good
2002 evla corr,[],['introduction'],0,1,0,[],[],['introduction'],0.0,False,no_toc_detected
2002 evla corr scanned,"['introduction', 'references', 'performance requirements 3 3 1 hardware 3 3 2 software']",['introduction'],3,1,1,['introduction'],"['references', 'performance requirements 3 3 1 hardware 3 3 2 software']",[],0.333,True,weak
2002 sce api,[],"['introduction', 'appendix glossary', 'appendix multiclock hardware side interface example', 'appendix vhdl scemimacros package']",0,4,0,[],[],"['introduction', 'appendix glossary', 'appendix multiclock hardware side interface example', 'appendix vhdl scemimacros package']",0.0,False,no_toc_detected
2002 sce api scanned,[],"['introduction', 'appendix glossary', 'appendix multiclock hardware side interface example']",0,3,0,[],[],"['introduction', 'appendix glossary', 'appendix multiclock hardware side interface example']",0.0,False,no_toc_detected
2003 agentmom,[],['introduction'],0,1,0,[],[],['introduction'],0.0,False,no_toc_detected
2003 agentmom scanned,['introduction'],[],1,0,0,[],['introduction'],[],0.0,True,weak
2003 pnnl,"['introduction', 'references', 'appendix chiller cooling tower and chilled-water distribution data dictionary', 'appendix data flow diagrams for boiler diagnostic processes', 'appendix data dictionary for boilers']","['introduction', 'references', 'appendix data flow diagrams of diagnostic processes for chillers', 'appendix chiller cooling tower and chilled-water distribution data', 'appendix data flow diagrams for boiler diagnostic processes', 'appendix data dictionary for boilers']",5,6,4,"['introduction', 'references', 'appendix data flow diagrams for boiler diagnostic processes', 'appendix data dictionary for boilers']",['appendix chiller cooling tower and chilled-water distribution data dictionary'],"['appendix data flow diagrams of diagnostic processes for chillers', 'appendix chiller cooling tower and chilled-water distribution data']",0.667,True,partial
2003 pnnl scanned,"['appendix chiller cooling tower and chilled-water distribution data dictionary', 'appendix data flow diagrams for boiler diagnostic processes', 'appendix data dictionary for boilers']","['appendix chiller cooling tower and chilled-water distribution data dictionary', 'appendix data flow diagrams for boiler diagnostic processes', 'appendix data dictionary for boilers']",3,3,3,"['appendix chiller cooling tower and chilled-water distribution data dictionary', 'appendix data flow diagrams for boiler diagnostic processes', 'appendix data dictionary for boilers']",[],[],1.0,True,good
2003 qheadache,['general description'],"['functional requirements', 'performance requirements', 'introduction', 'references']",1,4,0,[],['general description'],"['functional requirements', 'performance requirements', 'introduction', 'references']",0.0,True,weak
2003 qheadache scanned,[],"['general description', 'functional requirements', 'introduction']",0,3,0,[],[],"['general description', 'functional requirements', 'introduction']",0.0,False,no_toc_detected
2003 tachonet,['introduction'],"['design constraints', 'introduction', 'references']",1,3,1,['introduction'],[],"['design constraints', 'references']",0.333,True,weak
2003 tachonet scanned,['introduction'],"['introduction', 'performance requirements', 'interface requirements', 'references']",1,4,1,['introduction'],[],"['performance requirements', 'interface requirements', 'references']",0.25,True,weak
2004 colorcast,[],"['external interface requirements', 'other nonfunctional requirements', 'introduction', 'appendix glossary', 'appendix analysis models']",0,5,0,[],[],"['external interface requirements', 'other nonfunctional requirements', 'introduction', 'appendix glossary', 'appendix analysis models']",0.0,False,no_toc_detected
2004 colorcast scanned,[],"['external interface requirements', 'other nonfunctional requirements', 'introduction', 'references']",0,4,0,[],[],"['external interface requirements', 'other nonfunctional requirements', 'introduction', 'references']",0.0,False,no_toc_detected
2004 grid bgc,[],"['appendix data dictionary and data model 34', 'appendix analysis models 34', 'introduction', 'references', 'performance requirements', 'appendix data dictionary and data model']",0,6,0,[],[],"['appendix data dictionary and data model 34', 'appendix analysis models 34', 'introduction', 'references', 'performance requirements', 'appendix data dictionary and data model']",0.0,False,no_toc_detected
2004 grid bgc scanned,[],['appendix data dictionary and data model'],0,1,0,[],[],['appendix data dictionary and data model'],0.0,False,no_toc_detected
2004 rlcs,[],"['introduction', 'design constraints', 'appendixes a - traceability matrices', 'appendix terminology', 'appendix data flow diagrams and data model', 'appendix hardware interface i o card pin configuration', 'appendix transportation electrical equipment specification tees for', 'appendix initial system configuration data for operational sequences', 'appendix requirements working group']",0,9,0,[],[],"['introduction', 'design constraints', 'appendixes a - traceability matrices', 'appendix terminology', 'appendix data flow diagrams and data model', 'appendix hardware interface i o card pin configuration', 'appendix transportation electrical equipment specification tees for', 'appendix initial system configuration data for operational sequences', 'appendix requirements working group']",0.0,False,no_toc_detected
2004 rlcs scanned,"['appendixes a traceability matrices', 'appendix terminology', 'appendix data flow diagrams and data model', 'appendix hardware interface i o card pin configura tion']","['introduction', 'appendixes a traceability matrices', 'appendix terminology term dcu device override', 'appendix data flow diagrams and data model', 'appendix hardware interface i o card pin configuration', 'appendix requirements working group']",4,6,2,"['appendixes a traceability matrices', 'appendix data flow diagrams and data model']","['appendix terminology', 'appendix hardware interface i o card pin configura tion']","['introduction', 'appendix terminology term dcu device override', 'appendix hardware interface i o card pin configuration', 'appendix requirements working group']",0.333,True,weak
2004 sprat,['introduction'],"['appendix', 'glossary', 'references']",1,3,0,[],['introduction'],"['appendix', 'glossary', 'references']",0.0,True,weak
2004 sprat scanned,"['introduction', 'appendix lossary acknowledgement references']","['appendix', 'glossary', 'references']",2,3,0,[],"['introduction', 'appendix lossary acknowledgement references']","['appendix', 'glossary', 'references']",0.0,True,weak
2004 watcom,"['introduction', 'references']",['introduction'],2,1,1,['introduction'],['references'],[],0.5,True,partial
2004 watcom gui,['introduction'],['introduction'],1,1,1,['introduction'],[],[],1.0,True,good
2004 watcom gui scanned,[],['introduction'],0,1,0,[],[],['introduction'],0.0,False,no_toc_detected
2005 clarus low,['design constraints'],"['introduction', 'general description', 'appendix definitions acronyms and abbreviations 87', 'appendix supplemental description of clarus qc tests 90', 'references', 'security of federal automated information resources appendix iii to', 'appendix includes a discussion of', 'appendix ii security of', 'appendix definitions acronyms and', 'appendix supplemental description of', 'appendix references']",1,11,0,[],['design constraints'],"['introduction', 'general description', 'appendix definitions acronyms and abbreviations 87', 'appendix supplemental description of clarus qc tests 90', 'references', 'security of federal automated information resources appendix iii to', 'appendix includes a discussion of', 'appendix ii security of', 'appendix definitions acronyms and', 'appendix supplemental description of', 'appendix references']",0.0,True,weak
2005 clarus low scanned,"['references', 'general description']","['introduction', 'appendix', 'appendix supplemental description of clarus qc tests']",2,3,0,[],"['references', 'general description']","['introduction', 'appendix', 'appendix supplemental description of clarus qc tests']",0.0,True,weak
2005 grid 3d,[],"['functional requirements', 'non-functional requirements']",0,2,0,[],[],"['functional requirements', 'non-functional requirements']",0.0,False,no_toc_detected
2005 grid 3d scanned,[],"['functional requirements', 'non-functional requirements']",0,2,0,[],[],"['functional requirements', 'non-functional requirements']",0.0,False,no_toc_detected
2005 microcare,[],"['introduction', 'design constraints']",0,2,0,[],[],"['introduction', 'design constraints']",0.0,False,no_toc_detected
2005 microcare scanned,[],"['introduction', 'design constraints', 'references']",0,3,0,[],[],"['introduction', 'design constraints', 'references']",0.0,False,no_toc_detected
2005 phin,['outbreak management functional requirements 4'],"['introduction', 'outbreak management functional requirements']",1,2,0,[],['outbreak management functional requirements 4'],"['introduction', 'outbreak management functional requirements']",0.0,True,weak
2005 phin scanned,['introduction'],['functional requirements'],1,1,0,[],['introduction'],['functional requirements'],0.0,True,weak
2005 pontis,[],"['functional requirements', 'appendix cosmic-ffp', 'appendix project schedule']",0,3,0,[],[],"['functional requirements', 'appendix cosmic-ffp', 'appendix project schedule']",0.0,False,no_toc_detected
2005 pontis scanned,[],"['appendix cosmic-ffp overview', 'appendix project schedule']",0,2,0,[],[],"['appendix cosmic-ffp overview', 'appendix project schedule']",0.0,False,no_toc_detected
2005 triangle,[],"['performance requirements', 'introduction', 'references', 'appendix glossary', 'appendix requirements list', 'functional requirements', 'non-functional requirements', 'appendix stakeholders', 'constraints', 'appendix use case diagram']",0,10,0,[],[],"['performance requirements', 'introduction', 'references', 'appendix glossary', 'appendix requirements list', 'functional requirements', 'non-functional requirements', 'appendix stakeholders', 'constraints', 'appendix use case diagram']",0.0,False,no_toc_detected
2005 triangle scanned,"['introduction', 'functional requirements', 'references', 'appendix glossary', 'appendix requirements list', 'non-functional requirements', 'appendix stakeholders', 'appendix use case diagram']","['introduction', 'references', 'appendix requirements list', 'functional requirements', 'non-functional requirements', 'constraints', 'appendix use case diagram']",8,7,6,"['introduction', 'functional requirements', 'references', 'appendix requirements list', 'non-functional requirements', 'appendix use case diagram']","['appendix glossary', 'appendix stakeholders']",['constraints'],0.75,True,good
2005 znix,"['introduction', 'references', 'constraints']","['design constraints', 'introduction']",3,2,1,['introduction'],"['references', 'constraints']",['design constraints'],0.333,True,weak
2005 znix scanned,"['introduction', 'constraints']",['introduction'],2,1,1,['introduction'],['constraints'],[],0.5,True,partial
2006 eirene sys 15,"['introduction', 'references']","['introduction', 'references']",2,2,2,"['introduction', 'references']",[],[],1.0,True,good
2006 eirene sys 15 scanned,[],"['introduction', 'references']",0,2,0,[],[],"['introduction', 'references']",0.0,False,no_toc_detected
2006 stewards,"['appendix system design 18', 'appendix linkage of stewards to other usda ars data modeling systems 39', 'appendix task flow of stewards 40', 'appendix sadler accepted some changes and']","['introduction', 'other nonfunctional requirements', 'external interface requirements', 'appendix acronyms and glossary', 'appendix analysis models', 'appendix issues list', 'appendix database team members', 'appendix system detailed specifications', 'appendix system design', 'appendix linkage of stewards to other usda ars', 'appendix task flow of stewards']",4,11,0,[],"['appendix system design 18', 'appendix linkage of stewards to other usda ars data modeling systems 39', 'appendix task flow of stewards 40', 'appendix sadler accepted some changes and']","['introduction', 'other nonfunctional requirements', 'external interface requirements', 'appendix acronyms and glossary', 'appendix analysis models', 'appendix issues list', 'appendix database team members', 'appendix system detailed specifications', 'appendix system design', 'appendix linkage of stewards to other usda ars', 'appendix task flow of stewards']",0.0,True,weak
2006 stewards scanned,[],"['introduction', 'other nonfunctional requirements', 'external interface requirements', 'appendix system design', 'appendix linkage of stewards to other usdazars data modeling systems', 'appendix task flow of stewards']",0,6,0,[],[],"['introduction', 'other nonfunctional requirements', 'external interface requirements', 'appendix system design', 'appendix linkage of stewards to other usdazars data modeling systems', 'appendix task flow of stewards']",0.0,False,no_toc_detected
2007 central trading system,[],['introduction'],0,1,0,[],[],['introduction'],0.0,False,no_toc_detected
2007 central trading system scanned,[],['introduction'],0,1,0,[],[],['introduction'],0.0,False,no_toc_detected
2007 eirene fun 7,"['introduction', 'functional requirements', 'constraints', 'references']","['introduction', 'functional requirements', 'constraints', 'references']",4,4,4,"['introduction', 'functional requirements', 'constraints', 'references']",[],[],1.0,True,good
2007 eirene fun 7 scanned,['references'],"['introduction', 'functional requirements', 'constraints', 'references']",1,4,1,['references'],[],"['introduction', 'functional requirements', 'constraints']",0.25,True,weak
2007 ertms,[],"['glossary m', 'glossary']",0,2,0,[],[],"['glossary m', 'glossary']",0.0,False,no_toc_detected
2007 ertms scanned,['introduction'],"['glossary m', 'glossary']",1,2,0,[],['introduction'],"['glossary m', 'glossary']",0.0,True,weak
2007 get real 0.2,[],"['introduction', 'external interface requirements', 'other nonfunctional requirements', 'appendix glossary', 'appendix analysis models', 'appendix issues list']",0,6,0,[],[],"['introduction', 'external interface requirements', 'other nonfunctional requirements', 'appendix glossary', 'appendix analysis models', 'appendix issues list']",0.0,False,no_toc_detected
2007 get real 0.2 scanned,[],"['introduction', 'external interface requirements', 'appendix glossary']",0,3,0,[],[],"['introduction', 'external interface requirements', 'appendix glossary']",0.0,False,no_toc_detected
2007 mdot,"['appendix definitions acronyms and abbreviations 33', 'appendix referenced documents 35', 'appendix sae j2735 probe data elements 38', 'appendix weather data elements from clarus 41', 'appendix sae j2354 weather information elements 47', 'appendix sae j2354 eventinformation elements 50', 'appendix sae j2354 linktrafficinformation elements 51', 'introduction', 'appendix sae j2354 weather information']","['general description', 'references', 'appendix definitions acronyms and', 'appendix referenced documents', 'appendix sae j2735 probe data elements', 'appendix weather data elements from', 'appendix sae j2354 weather information', 'appendix sae j2354 eventinformation', 'appendix sae j2354 linktrafficinformation']",9,9,1,['appendix sae j2354 weather information'],"['appendix definitions acronyms and abbreviations 33', 'appendix referenced documents 35', 'appendix sae j2735 probe data elements 38', 'appendix weather data elements from clarus 41', 'appendix sae j2354 weather information elements 47', 'appendix sae j2354 eventinformation elements 50', 'appendix sae j2354 linktrafficinformation elements 51', 'introduction']","['general description', 'references', 'appendix definitions acronyms and', 'appendix referenced documents', 'appendix sae j2735 probe data elements', 'appendix weather data elements from', 'appendix sae j2354 eventinformation', 'appendix sae j2354 linktrafficinformation']",0.111,True,weak
2007 mdot scanned,"['introduction', 'references', 'general description', 'general constraints', 'appendix definitions acronyms and abbreviations', 'appendix referenced documents', 'appendix sae j2735 probe data elements', 'appendix', 'appendix sae j2354 linktrafficinformation elements']",[],9,0,0,[],"['introduction', 'references', 'general description', 'general constraints', 'appendix definitions acronyms and abbreviations', 'appendix referenced documents', 'appendix sae j2735 probe data elements', 'appendix', 'appendix sae j2354 linktrafficinformation elements']",[],0.0,True,weak
2007 nde,[],"['appendix glossary', 'appendix acronyms and abbreviations', 'appendix section j contract matrices', 'glossary']",0,4,0,[],[],"['appendix glossary', 'appendix acronyms and abbreviations', 'appendix section j contract matrices', 'glossary']",0.0,False,no_toc_detected
2007 nde scanned,[],"['appendix glossary', 'appendix acronyms and abbreviations', 'appendix section j contract matrices', 'glossary']",0,4,0,[],[],"['appendix glossary', 'appendix acronyms and abbreviations', 'appendix section j contract matrices', 'glossary']",0.0,False,no_toc_detected
2007 puget sound,"['introduction', 'references']","['design constraints', 'introduction', 'references']",2,3,2,"['introduction', 'references']",[],['design constraints'],0.667,True,partial
2007 water use,[],"['introduction', 'non-functional requirements', 'appendix 39', 'appendix use cases']",0,4,0,[],[],"['introduction', 'non-functional requirements', 'appendix 39', 'appendix use cases']",0.0,False,no_toc_detected
2007 water use scanned,[],"['introduction', 'appendix use cases']",0,2,0,[],[],"['introduction', 'appendix use cases']",0.0,False,no_toc_detected
2008 caiso,[],['references'],0,1,0,[],[],['references'],0.0,False,no_toc_detected
2008 caiso scanned,['references'],['references'],1,1,1,['references'],[],[],1.0,True,good
2008 keepass,[],"['introduction', 'functional requirements', 'external interface requirements', 'other nonfunctional requirements']",0,4,0,[],[],"['introduction', 'functional requirements', 'external interface requirements', 'other nonfunctional requirements']",0.0,False,no_toc_detected
2008 keepass scanned,[],"['introduction', 'external interface requirements', 'other nonfunctional requirements']",0,3,0,[],[],"['introduction', 'external interface requirements', 'other nonfunctional requirements']",0.0,False,no_toc_detected
2008 peering,[],"['introduction', 'external interface requirements', 'references']",0,3,0,[],[],"['introduction', 'external interface requirements', 'references']",0.0,False,no_toc_detected
2008 peering scanned,[],"['introduction', 'external interface requirements']",0,2,0,[],[],"['introduction', 'external interface requirements']",0.0,False,no_toc_detected
2008 vub,"['introduction', 'performance requirements', 'references']","['constraints', 'performance requirements', 'design constraints', 'functional requirements', 'references']",3,5,2,"['performance requirements', 'references']",['introduction'],"['constraints', 'design constraints', 'functional requirements']",0.4,True,partial
2008 vub scanned,['introduction'],"['constraints', 'introduction', 'performance requirements', 'design constraints', 'references']",1,5,1,['introduction'],[],"['constraints', 'performance requirements', 'design constraints', 'references']",0.2,True,weak
2009 email,[],['glossary'],0,1,0,[],[],['glossary'],0.0,False,no_toc_detected
2009 gaia,"['introduction', 'references']","['introduction', 'functional requirements']",2,2,1,['introduction'],['references'],['functional requirements'],0.5,True,partial
2009 gaia scanned,"['introduction', 'references']",['introduction'],2,1,1,['introduction'],['references'],[],0.5,True,partial
2009 inventory 2.0,[],"['detailed functional requirements', 'high-level functional requirements', 'introduction', 'appendix references', 'appendix glossary']",0,5,0,[],[],"['detailed functional requirements', 'high-level functional requirements', 'introduction', 'appendix references', 'appendix glossary']",0.0,False,no_toc_detected
2009 inventory 2.0 scanned,['appendix references appendlx b glossary'],['introduction'],1,1,0,[],['appendix references appendlx b glossary'],['introduction'],0.0,True,weak
2009 library,[],['introduction'],0,1,0,[],[],['introduction'],0.0,False,no_toc_detected
2009 library scanned,['introduction'],['introduction'],1,1,1,['introduction'],[],[],1.0,True,good
2009 model manager,[],['introduction'],0,1,0,[],[],['introduction'],0.0,False,no_toc_detected
2009 model manager scanned,[],['introduction'],0,1,0,[],[],['introduction'],0.0,False,no_toc_detected
2009 peazip,['functional requirements'],"['introduction', 'functional requirements', 'other nonfunctional requirements', 'external interface requirements', 'appendix', 'appendix definitions acronyms and abbreviations', 'appendix analysis model']",1,7,1,['functional requirements'],[],"['introduction', 'other nonfunctional requirements', 'external interface requirements', 'appendix', 'appendix definitions acronyms and abbreviations', 'appendix analysis model']",0.143,True,weak
2009 peazip scanned,[],"['introduction', 'other nonfunctional requirements', 'external interface requirements', 'appendix analysis model']",0,4,0,[],[],"['introduction', 'other nonfunctional requirements', 'external interface requirements', 'appendix analysis model']",0.0,False,no_toc_detected
2009 peppol,[],"['introduction motivation for a virtual company dossier', 'introduction', 'references']",0,3,0,[],[],"['introduction motivation for a virtual company dossier', 'introduction', 'references']",0.0,False,no_toc_detected
2009 peppol scanned,[],['references'],0,1,0,[],[],['references'],0.0,False,no_toc_detected
2009 video search,[],"['introduction', 'other nonfunctional requirements', 'external interface requirements', 'appendix glossary', 'appendix diagrams', 'appendix issues list']",0,6,0,[],[],"['introduction', 'other nonfunctional requirements', 'external interface requirements', 'appendix glossary', 'appendix diagrams', 'appendix issues list']",0.0,False,no_toc_detected
2009 video search scanned,[],"['introduction', 'other nonfunctional requirements', 'external interface requirements', 'appendix diagrams']",0,4,0,[],[],"['introduction', 'other nonfunctional requirements', 'external interface requirements', 'appendix diagrams']",0.0,False,no_toc_detected
2009 warc iii,['introduction'],"['functional requirements', 'introduction']",1,2,1,['introduction'],[],['functional requirements'],0.5,True,partial
2009 warc iii scanned,['introduction'],[],1,0,0,[],['introduction'],[],0.0,True,weak
2010 blit draft,"['functional requirements', 'introduction', 'glossary']","['functional requirements', 'introduction', 'glossary']",3,3,3,"['functional requirements', 'introduction', 'glossary']",[],[],1.0,True,good
2010 blit draft scanned,[],['glossary'],0,1,0,[],[],['glossary'],0.0,False,no_toc_detected
2010 fishing,[],"['introduction', 'uk fishing vessel s electronic logbook functional requirements', 'references']",0,3,0,[],[],"['introduction', 'uk fishing vessel s electronic logbook functional requirements', 'references']",0.0,False,no_toc_detected
2010 gparted,[],"['introduction', 'external interface requirements', 'performance requirements']",0,3,0,[],[],"['introduction', 'external interface requirements', 'performance requirements']",0.0,False,no_toc_detected
2010 gparted scanned,[],"['introduction', 'external interface requirements', 'other nonfunctional requirements']",0,3,0,[],[],"['introduction', 'external interface requirements', 'other nonfunctional requirements']",0.0,False,no_toc_detected
2010 home 1.3,[],"['introduction', 'performance requirements', 'functional requirements', 'glossary', 'references']",0,5,0,[],[],"['introduction', 'performance requirements', 'functional requirements', 'glossary', 'references']",0.0,False,no_toc_detected
2010 mashboot,['introduction'],"['functional requirements', 'introduction', 'glossary']",1,3,1,['introduction'],[],"['functional requirements', 'glossary']",0.333,True,weak
2010 mashboot scanned,[],['introduction'],0,1,0,[],[],['introduction'],0.0,False,no_toc_detected
2010 split merge,[],"['functional requirements', 'external interface requirements', 'other nonfunctional requirements', 'introduction', 'appendix']",0,5,0,[],[],"['functional requirements', 'external interface requirements', 'other nonfunctional requirements', 'introduction', 'appendix']",0.0,False,no_toc_detected
2010 split merge scanned,[],"['functional requirements', 'external interface requirements', 'other nonfunctional requirements', 'introduction', 'appendix']",0,5,0,[],[],"['functional requirements', 'external interface requirements', 'other nonfunctional requirements', 'introduction', 'appendix']",0.0,False,no_toc_detected
