doc_id,page_num,page_type,section_label,block_id,block_text,requirement_type_candidate,requirement_strength,requirement_confidence,deep_prediction,deep_confidence,deep_prediction_label,prediction_status,final_prediction,nfr_subtype_pred_id,nfr_subtype_confidence,nfr_subtype_pred,nfr_lime_predicted_subtype,nfr_lime_confidence,nfr_lime_top_tokens,nfr_lime_token_weights,nfr_lime_explanation,nfr_xai_method
2001 esa,12,content_page,,36,There shall be a UNIX-based APAF,unknown,strong,0.6,1,0.54326546,NFR,LOW_CONFIDENCE_REVIEW,UNCERTAIN,8,0.5047328,usability,usability,0.5047,"[np.str_('based'), np.str_('shall'), np.str_('There'), np.str_('APAF'), np.str_('a'), np.str_('be'), np.str_('UNIX')]","[0.19317, 0.12503, -0.09504, 0.08606, 0.06131, 0.04223, 0.0341]","LIME explains the RoBERTa NFR subtype prediction 'usability' with confidence 0.505. The most influential words according to local perturbations are: based, shall, There, APAF, a, be, UNIX.",LIME_TextExplainer_RoBERTa_NFR_Subtype
0000 gamma j,22,content_page,performance_requirements,35,The system should be able to run test credit card transactions.,NFR,medium,0.9,1,0.7918334,NFR,HIGH_CONFIDENCE,NFR,8,0.20440385,usability,usability,0.2044,"[np.str_('system'), np.str_('card'), np.str_('The'), np.str_('run'), np.str_('be'), np.str_('transactions'), np.str_('to'), np.str_('able')]","[0.08741, 0.07781, 0.0686, 0.05451, -0.04776, -0.0393, -0.03919, 0.03194]","LIME explains the RoBERTa NFR subtype prediction 'usability' with confidence 0.204. The most influential words according to local perturbations are: system, card, The, run, be, transactions, to, able.",LIME_TextExplainer_RoBERTa_NFR_Subtype
1999 tcs,81,content_page,appendices,22,The TCS shall be capable of being interoperable with multiple platforms/payloads simultaneously.,other,strong,0.6,1,0.89610296,NFR,HIGH_CONFIDENCE,NFR,6,0.27120194,scalability,scalability,0.2712,"[np.str_('capable'), np.str_('multiple'), np.str_('interoperable'), np.str_('shall'), np.str_('with'), np.str_('be'), np.str_('platforms'), np.str_('The')]","[0.07497, 0.0408, 0.03982, 0.03964, 0.03443, 0.02659, 0.02582, 0.01955]","LIME explains the RoBERTa NFR subtype prediction 'scalability' with confidence 0.271. The most influential words according to local perturbations are: capable, multiple, interoperable, shall, with, be, platforms, The.",LIME_TextExplainer_RoBERTa_NFR_Subtype
1999 tcs,54,content_page,appendices,25,The TCS shall be capable of operation within environments specified in the System/Subsystem Design,other,strong,0.6,1,0.7676367,NFR,HIGH_CONFIDENCE,NFR,6,0.21975912,scalability,scalability,0.2198,"[np.str_('capable'), np.str_('be'), np.str_('operation'), np.str_('of'), np.str_('environments'), np.str_('within'), np.str_('in'), np.str_('specified')]","[0.08784, 0.04746, 0.04361, 0.026, 0.02515, 0.02205, 0.02111, 0.01677]","LIME explains the RoBERTa NFR subtype prediction 'scalability' with confidence 0.220. The most influential words according to local perturbations are: capable, be, operation, of, environments, within, in, specified.",LIME_TextExplainer_RoBERTa_NFR_Subtype
1999 tcs,13,content_page,appendices,28,depending upon the deployment concept and area of operations. TCS hardware must be scaleable or,other,strong,0.6,1,0.5518589,NFR,LOW_CONFIDENCE_REVIEW,UNCERTAIN,6,0.26776806,scalability,scalability,0.2678,"[np.str_('scaleable'), np.str_('hardware'), np.str_('of'), np.str_('be'), np.str_('upon'), np.str_('concept'), np.str_('TCS'), np.str_('area')]","[0.10575, 0.05223, 0.03228, 0.02758, 0.02525, 0.02343, 0.02341, 0.01799]","LIME explains the RoBERTa NFR subtype prediction 'scalability' with confidence 0.268. The most influential words according to local perturbations are: scaleable, hardware, of, be, upon, concept, TCS, area.",LIME_TextExplainer_RoBERTa_NFR_Subtype
2001 hats,41,content_page,performance_requirements,35,"[SRSreq 164] The GUI shall run on Windows 2000, Sun Solaris 8, and Linux operating systems without",NFR,strong,1.0,1,0.5081796,NFR,LOW_CONFIDENCE_REVIEW,UNCERTAIN,4,0.20953993,portability,portability,0.2095,"[np.str_('run'), np.str_('Linux'), np.str_('operating'), np.str_('shall'), np.str_('2000'), np.str_('on'), np.str_('Solaris'), np.str_('Windows')]","[0.06096, 0.03815, 0.02672, 0.02287, 0.02225, 0.02091, 0.01481, 0.01298]","LIME explains the RoBERTa NFR subtype prediction 'portability' with confidence 0.210. The most influential words according to local perturbations are: run, Linux, operating, shall, 2000, on, Solaris, Windows.",LIME_TextExplainer_RoBERTa_NFR_Subtype
2001 hats,27,content_page,general_description,23,"the system shall be tested under Sun Solaris, Windows 2000, and Linux. It is intended for the system to",other,strong,0.6,1,0.7812927,NFR,HIGH_CONFIDENCE,NFR,4,0.20753124,portability,portability,0.2075,"[np.str_('Linux'), np.str_('system'), np.str_('for'), np.str_('Windows'), np.str_('2000'), np.str_('is'), np.str_('be'), np.str_('intended')]","[0.05415, 0.03617, 0.02896, 0.02646, 0.02115, 0.01932, 0.01913, 0.01629]","LIME explains the RoBERTa NFR subtype prediction 'portability' with confidence 0.208. The most influential words according to local perturbations are: Linux, system, for, Windows, 2000, is, be, intended.",LIME_TextExplainer_RoBERTa_NFR_Subtype
0000 cctns,18,content_page,non_functional_requirements,11,The system should run on multiple browsers,NFR,medium,0.9,1,0.9362537,NFR,HIGH_CONFIDENCE,NFR,4,0.21556588,portability,portability,0.2156,"[np.str_('browsers'), np.str_('run'), np.str_('system'), np.str_('on'), np.str_('should'), np.str_('multiple'), np.str_('The')]","[0.12449, 0.05721, 0.04546, 0.0353, 0.02234, 0.02213, 0.00383]","LIME explains the RoBERTa NFR subtype prediction 'portability' with confidence 0.216. The most influential words according to local perturbations are: browsers, run, system, on, should, multiple, The.",LIME_TextExplainer_RoBERTa_NFR_Subtype
1999 tcs,99,content_page,appendices,34,The TCS reliability will be considered in every phase of the design and development process and,other,soft,0.4,1,0.65763336,NFR,LOW_CONFIDENCE_REVIEW,UNCERTAIN,1,0.15405883,fault_tolerance,fault_tolerance,0.1541,"[np.str_('reliability'), np.str_('TCS'), np.str_('will'), np.str_('be'), np.str_('development'), np.str_('and'), np.str_('every'), np.str_('phase')]","[0.05345, 0.02986, 0.02807, 0.01749, 0.01549, 0.01419, 0.01126, 0.00973]","LIME explains the RoBERTa NFR subtype prediction 'fault_tolerance' with confidence 0.154. The most influential words according to local perturbations are: reliability, TCS, will, be, development, and, every, phase.",LIME_TextExplainer_RoBERTa_NFR_Subtype
1999 tcs,58,appendix_page,appendices,21,The TCS reliability will be considered in every phase of the design and development process and shall,other,strong,0.4,1,0.53672326,NFR,LOW_CONFIDENCE_REVIEW,UNCERTAIN,1,0.15117727,fault_tolerance,fault_tolerance,0.1512,"[np.str_('reliability'), np.str_('will'), np.str_('TCS'), np.str_('and'), np.str_('be'), np.str_('every'), np.str_('phase'), np.str_('considered')]","[0.06504, 0.02453, 0.01987, 0.01939, 0.01878, 0.01461, 0.01219, -0.01024]","LIME explains the RoBERTa NFR subtype prediction 'fault_tolerance' with confidence 0.151. The most influential words according to local perturbations are: reliability, will, TCS, and, be, every, phase, considered.",LIME_TextExplainer_RoBERTa_NFR_Subtype
