doc_id,page_num,page_type,section_label,block_id,block_text,requirement_type_candidate,requirement_strength,requirement_confidence,deep_prediction,deep_confidence,deep_prediction_label,prediction_status,final_prediction,nfr_subtype_pred,nfr_subtype_confidence,nfr_subtype_model_name,ambiguity_pred_id,ambiguity_prediction,ambiguity_confidence,clear_probability,ambiguous_probability,ambiguity_model_name,ambiguity_status,final_ambiguity_label,ambiguity_lime_predicted_label,ambiguity_lime_confidence,ambiguity_lime_top_tokens,ambiguity_lime_token_weights,ambiguity_lime_explanation,ambiguity_xai_method
2003 tachonet,40,content_page,introduction,25,"should only be allowed to the CIA Administrators. Therefore, every CIA",other,medium,0.5,0,0.79047114,FR,HIGH_CONFIDENCE,FR,not_applicable,0.0,roberta-base,1,AMBIGUOUS,0.7152803,0.2847197,0.7152803,roberta-base,LOW_CONFIDENCE_REVIEW,UNCERTAIN,AMBIGUOUS,0.7153,"[np.str_('should'), np.str_('be'), np.str_('Therefore'), np.str_('every'), np.str_('allowed'), np.str_('only'), np.str_('CIA'), np.str_('Administrators')]","[0.45635, 0.27152, 0.13005, 0.08138, -0.07448, 0.05708, -0.03477, -0.03038]","LIME explains the RoBERTa ambiguity prediction 'AMBIGUOUS' with confidence 0.715. The most influential words according to local perturbations are: should, be, Therefore, every, allowed, only, CIA, Administrators.",LIME_TextExplainer_RoBERTa_Ambiguity
1998 themas,11,content_page,general_description,10,communications shall be designed to operate on this operating,other,strong,0.6,1,0.5411755,NFR,LOW_CONFIDENCE_REVIEW,UNCERTAIN,scalability,0.19113758,roberta-base,0,CLEAR,0.6689333,0.6689333,0.33106673,roberta-base,LOW_CONFIDENCE_REVIEW,UNCERTAIN,CLEAR,0.6689,"[np.str_('this'), np.str_('communications'), np.str_('shall'), np.str_('designed'), np.str_('on'), np.str_('operate'), np.str_('to'), np.str_('be')]","[-0.5476, 0.22607, 0.16119, -0.08786, -0.06407, 0.06209, -0.04459, -0.02431]","LIME explains the RoBERTa ambiguity prediction 'CLEAR' with confidence 0.669. The most influential words according to local perturbations are: this, communications, shall, designed, on, operate, to, be.",LIME_TextExplainer_RoBERTa_Ambiguity
0000 cctns scanned,6,content_page,non_functional_requirements,5,"Support Module The solution should provide an interface for the use to log any defects O enhancement requests On the application and track thereafter: The solution should send alerts (e-g , email SMS) to the user if the uset chooses to whenever any action has been taken on the alert",NFR,medium,0.9,0,0.5064413,FR,LOW_CONFIDENCE_REVIEW,UNCERTAIN,not_applicable,0.0,roberta-base,0,CLEAR,0.62926674,0.62926674,0.37073323,roberta-base,LOW_CONFIDENCE_REVIEW,UNCERTAIN,CLEAR,0.6293,"[np.str_('should'), np.str_('any'), np.str_('interface'), np.str_('The'), np.str_('Support'), np.str_('an'), np.str_('whenever'), np.str_('send')]","[-0.17446, -0.09907, 0.08847, -0.0703, -0.0594, 0.04909, -0.04632, 0.04228]","LIME explains the RoBERTa ambiguity prediction 'CLEAR' with confidence 0.629. The most influential words according to local perturbations are: should, any, interface, The, Support, an, whenever, send.",LIME_TextExplainer_RoBERTa_Ambiguity
2003 pnnl,43,content_page,introduction,35,"This title shall be a concatenation of the title of the previous window displayed, not including the",other,strong,0.6,0,0.98275405,FR,HIGH_CONFIDENCE,FR,not_applicable,0.0,roberta-base,1,AMBIGUOUS,0.52409965,0.47590038,0.52409965,roberta-base,LOW_CONFIDENCE_REVIEW,UNCERTAIN,AMBIGUOUS,0.5241,"[np.str_('This'), np.str_('title'), np.str_('previous'), np.str_('shall'), np.str_('concatenation'), np.str_('the'), np.str_('be'), np.str_('not')]","[0.5469, -0.12989, 0.11467, -0.10519, -0.09284, 0.08513, -0.06289, 0.03509]","LIME explains the RoBERTa ambiguity prediction 'AMBIGUOUS' with confidence 0.524. The most influential words according to local perturbations are: This, title, previous, shall, concatenation, the, be, not.",LIME_TextExplainer_RoBERTa_Ambiguity
0000 gamma j scanned,8,content_page,appendices,1,"3.3.2 Stimulus/Response Sequences Same as 3.1.2 3.3.3 Functional Requirements Customers will also be able to add products into the shopping cart: The shopping cart will clearly display the number ofitems in the cart, along with the total cost: The customer will also be able to add to or remove products from the shopping cart prior to checkout and order confirmation. 3.4 Order Confirmation 3.4.1 Description And Priority Order confirmation will allow the customer to review their order after checkout prior to confirmation. This is a medium priority system feature. 3.4.2 Stimulus/Response Sequences Same as 3.1.2 3.4.3 Functional Requirements Customers will be able to confirm the order after checkout: If the order is incorrect; the customer will be able to revise and update their order: The customer will then receive a confirmation email with the specific order details. 3.5 Interface 3.5.1 Description And Priority The interface will be presented to the customer in a web browser. The interface must remain consistent among various web browsers and be intuitive to the customer. This is a medium priority system feature_ 3.5.2 Stimulus/Response Sequences Same as 3.1.2 3.5.3 Functional Requirements Customers will be presented with an unambiguous interface to assist in browsing the categories and products. Customers will be able to search for products matching their search criteria. The interface will be compatible with all major web browsers such as Internet Explorer; Mozilla Navigator; Mozilla Firefox; Opera, and Safari: 3.6 Plug-in API 3.6.1 Description And Priority The system will feature an API to allow customers to build custom plug-ins to be able to meet their needs. This is a high priority system feature as it ensures the flexibility of the system to be tailored to specific needs. 3.6.2 Stimulus/Response Sequences Web Browser initiates request to Web Server via HTTPS Web Server parses request Web Server submits request to API Service API Service picks Up request API Service submits request to Plug-in Plug-in picks up request Plug-in runs tasks",other,strong,0.6,0,0.9943037,FR,HIGH_CONFIDENCE,FR,not_applicable,0.0,roberta-base,1,AMBIGUOUS,0.7325509,0.26744908,0.7325509,roberta-base,LOW_CONFIDENCE_REVIEW,UNCERTAIN,AMBIGUOUS,0.7326,"[np.str_('This'), np.str_('is'), np.str_('Same'), np.str_('update'), np.str_('to'), np.str_('Confirmation'), np.str_('cost'), np.str_('checkout')]","[0.2139, 0.10693, 0.0832, 0.04012, 0.03564, -0.0263, 0.02513, -0.01887]","LIME explains the RoBERTa ambiguity prediction 'AMBIGUOUS' with confidence 0.733. The most influential words according to local perturbations are: This, is, Same, update, to, Confirmation, cost, checkout.",LIME_TextExplainer_RoBERTa_Ambiguity
1999 tcs,88,content_page,appendices,10,A de-clutter capacity shall be provided that only displays the selected number of the most significant,other,strong,0.6,0,0.65002334,FR,LOW_CONFIDENCE_REVIEW,UNCERTAIN,not_applicable,0.0,roberta-base,0,CLEAR,0.977961,0.977961,0.022039063,roberta-base,HIGH_CONFIDENCE,CLEAR,CLEAR,0.978,"[np.str_('shall'), np.str_('clutter'), np.str_('be'), np.str_('number'), np.str_('capacity'), np.str_('displays'), np.str_('only'), np.str_('A')]","[0.01765, 0.01097, 0.00825, 0.00781, 0.0066, 0.00637, 0.00367, -0.00185]","LIME explains the RoBERTa ambiguity prediction 'CLEAR' with confidence 0.978. The most influential words according to local perturbations are: shall, clutter, be, number, capacity, displays, only, A.",LIME_TextExplainer_RoBERTa_Ambiguity
1999 tcs,33,content_page,appendices,25,The TCS shall be capable of automatically controlling the transmitter and receiver frequencies of the,other,strong,0.6,0,0.9336443,FR,HIGH_CONFIDENCE,FR,not_applicable,0.0,roberta-base,0,CLEAR,0.9669311,0.9669311,0.033068866,roberta-base,HIGH_CONFIDENCE,CLEAR,CLEAR,0.9669,"[np.str_('TCS'), np.str_('shall'), np.str_('controlling'), np.str_('transmitter'), np.str_('the'), np.str_('automatically'), np.str_('be'), np.str_('of')]","[0.04375, 0.02303, 0.01961, 0.01804, -0.01475, -0.01186, -0.0064, 0.00568]","LIME explains the RoBERTa ambiguity prediction 'CLEAR' with confidence 0.967. The most influential words according to local perturbations are: TCS, shall, controlling, transmitter, the, automatically, be, of.",LIME_TextExplainer_RoBERTa_Ambiguity
1995 gemini,60,content_page,design_constraints,11,A system that is operating in Engineering/Maintenance mode must ignore directives,NFR,strong,1.0,0,0.5005627,FR,LOW_CONFIDENCE_REVIEW,UNCERTAIN,not_applicable,0.0,roberta-base,0,CLEAR,0.9895586,0.9895586,0.010441425,roberta-base,HIGH_CONFIDENCE,CLEAR,CLEAR,0.9896,"[np.str_('must'), np.str_('Engineering'), np.str_('directives'), np.str_('operating'), np.str_('A'), np.str_('that'), np.str_('is'), np.str_('Maintenance')]","[0.05962, 0.01996, 0.01919, 0.0158, 0.01339, 0.01134, 0.00909, 0.00786]","LIME explains the RoBERTa ambiguity prediction 'CLEAR' with confidence 0.990. The most influential words according to local perturbations are: must, Engineering, directives, operating, A, that, is, Maintenance.",LIME_TextExplainer_RoBERTa_Ambiguity
0000 cctns,18,content_page,non_functional_requirements,39,the user clicks on a particular record to view its further details should a query be fired to,NFR,medium,0.9,1,0.6783578,NFR,LOW_CONFIDENCE_REVIEW,UNCERTAIN,security,0.9833767,roberta-base,0,CLEAR,0.9303891,0.9303891,0.06961086,roberta-base,HIGH_CONFIDENCE,CLEAR,CLEAR,0.9304,"[np.str_('user'), np.str_('should'), np.str_('fired'), np.str_('record'), np.str_('a'), np.str_('query'), np.str_('its'), np.str_('on')]","[0.07419, -0.07172, 0.05214, -0.03571, 0.03088, 0.02332, 0.02298, -0.01558]","LIME explains the RoBERTa ambiguity prediction 'CLEAR' with confidence 0.930. The most influential words according to local perturbations are: user, should, fired, record, a, query, its, on.",LIME_TextExplainer_RoBERTa_Ambiguity
1995 gemini,49,content_page,design_constraints,3,and WAN interfaces shall be homogeneous and shall be based on standards which allow,NFR,strong,1.0,1,0.5978051,NFR,LOW_CONFIDENCE_REVIEW,UNCERTAIN,usability,0.3874151,roberta-base,0,CLEAR,0.98054093,0.98054093,0.019459084,roberta-base,HIGH_CONFIDENCE,CLEAR,CLEAR,0.9805,"[np.str_('shall'), np.str_('allow'), np.str_('interfaces'), np.str_('which'), np.str_('and'), np.str_('be'), np.str_('WAN'), np.str_('standards')]","[0.0357, 0.02455, 0.01666, 0.01592, -0.01148, 0.00899, 0.00762, 0.00606]","LIME explains the RoBERTa ambiguity prediction 'CLEAR' with confidence 0.981. The most influential words according to local perturbations are: shall, allow, interfaces, which, and, be, WAN, standards.",LIME_TextExplainer_RoBERTa_Ambiguity
