doc_id,total_pages,avg_vision_confidence,correct_visual_pages,cover_pages_pred,toc_pages_pred,content_pages_pred,appendix_pages_pred,low_text_pages_pred,low_confidence_pages,vision_accuracy_proxy,document_vision_quality_flag
2008 peering scanned,17,0.8688,13,1,1,8,7,0,1,0.765,moderate_visual_structure
2008 vub,40,0.8513,30,0,3,19,11,7,4,0.75,moderate_visual_structure
2008 vub scanned,40,0.841,30,0,3,19,11,7,6,0.75,moderate_visual_structure
2009 email,15,0.7844,10,1,0,13,1,0,3,0.667,moderate_visual_structure
2009 email scanned,15,0.8358,12,1,0,14,0,0,1,0.8,moderate_visual_structure
2009 gaia,28,0.9336,28,0,2,26,0,0,1,1.0,moderate_visual_structure
2009 gaia scanned,28,0.93,28,0,2,26,0,0,1,1.0,moderate_visual_structure
2009 inventory 2.0,62,0.8986,57,1,10,46,5,0,4,0.919,moderate_visual_structure
2009 inventory 2.0 scanned,62,0.8941,56,1,10,47,4,0,5,0.903,moderate_visual_structure
2009 library,18,0.8044,14,1,1,14,2,0,3,0.778,moderate_visual_structure
2009 library scanned,18,0.7848,16,1,0,16,1,0,4,0.889,moderate_visual_structure
2009 model manager,13,0.9,13,0,1,10,1,1,2,1.0,moderate_visual_structure
2009 model manager scanned,13,0.8942,11,0,1,9,2,1,2,0.846,moderate_visual_structure
2009 peazip,34,0.87,29,1,7,18,8,0,4,0.853,moderate_visual_structure
2009 peazip scanned,34,0.8724,31,1,7,19,7,0,2,0.912,moderate_visual_structure
2009 peppol,127,0.7382,71,1,61,49,16,0,37,0.559,moderate_visual_structure
2009 peppol scanned,127,0.7416,71,1,62,48,16,0,32,0.559,moderate_visual_structure
2009 video search,14,0.8671,12,1,1,6,6,0,0,0.857,strong_visual_structure
2009 video search scanned,14,0.8666,13,1,1,6,6,0,2,0.929,moderate_visual_structure
2009 warc iii,10,0.7822,9,1,2,7,0,0,1,0.9,moderate_visual_structure
2009 warc iii scanned,10,0.7913,9,1,1,8,0,0,0,0.9,moderate_visual_structure
2010 blit draft,12,0.8712,12,1,3,7,1,0,1,1.0,moderate_visual_structure
2010 blit draft scanned,12,0.9048,11,1,3,7,1,0,0,0.917,strong_visual_structure
2010 fishing,49,0.8854,44,1,4,41,3,0,4,0.898,moderate_visual_structure
2010 fishing scanned,49,0.9325,47,1,3,43,2,0,2,0.959,moderate_visual_structure
2010 gparted,26,0.9144,25,1,1,22,1,1,1,0.962,moderate_visual_structure
2010 gparted scanned,26,0.9127,24,1,1,21,2,1,2,0.923,moderate_visual_structure
2010 home 1.3,15,0.7776,13,1,1,8,5,0,3,0.867,moderate_visual_structure
2010 home 1.3 scanned,15,0.7842,11,1,1,10,3,0,3,0.733,moderate_visual_structure
2010 mashboot,15,0.8,13,0,2,8,1,4,3,0.867,moderate_visual_structure
2010 mashboot scanned,15,0.8012,10,0,2,8,1,4,3,0.667,moderate_visual_structure
2010 split merge,34,0.8584,28,1,1,28,4,0,2,0.824,moderate_visual_structure
2010 split merge scanned,34,0.8326,29,1,2,27,4,0,4,0.853,moderate_visual_structure
