doc_id,page_num,page_type,section_label,block_id,block_text,requirement_type_candidate,requirement_strength,requirement_confidence,deep_prediction,deep_confidence,deep_prediction_label,prediction_status,final_prediction,lime_predicted_label,lime_confidence,lime_top_tokens,lime_token_weights,lime_explanation,xai_method
1998 themas scanned,15,content_page,general_description,7,"temperature setting value that is received from an individual thermostat shall be compared to the valid temperature range values If the temperature setting value is strictly less than the lower value of the valid temperature range or if the temperature setting value is strictly greater than the upper value of the valid temperature range then the THEMAS system shall identify the temperature setting as an invalid temperature and shall output an invalid temperature status Otherwise, the THEMAS system shall realize the value for that thermostat' s temperature setting",other,strong,0.6,0,0.9959623,FR,HIGH_CONFIDENCE,FR,FR,0.996,"[np.str_('THEMAS'), np.str_('identify'), np.str_('status'), np.str_('If'), np.str_('shall'), np.str_('of'), np.str_('temperature'), np.str_('system')]","[0.00428, -0.00356, 0.00356, 0.0034, 0.00323, 0.00263, 0.00259, -0.00222]","LIME explains the fine-tuned DistilBERT prediction 'FR' with confidence 0.996. The most influential words according to local perturbations are: THEMAS, identify, status, If, shall, of, temperature, system.",LIME_TextExplainer_DistilBERT
1999 tcs scanned,89,content_page,appendices,13,SsS1+ While the data link i5 not operational; the TCS shall present the last known A V status values and the time at which the last values were reported,other,strong,0.6,0,0.8615197,FR,HIGH_CONFIDENCE,FR,FR,0.8615,"[np.str_('the'), np.str_('time'), np.str_('operational'), np.str_('known'), np.str_('present'), np.str_('reported'), np.str_('SsS1'), np.str_('which')]","[0.16502, -0.11026, -0.09921, -0.09184, 0.08859, -0.07221, -0.06213, 0.03699]","LIME explains the fine-tuned DistilBERT prediction 'FR' with confidence 0.862. The most influential words according to local perturbations are: the, time, operational, known, present, reported, SsS1, which.",LIME_TextExplainer_DistilBERT
2005 clarus low,42,content_page,general_description,23,F-231D1 CS shall be able to collect,other,strong,0.6,0,0.9663215,FR,HIGH_CONFIDENCE,FR,FR,0.9663,"[np.str_('to'), np.str_('shall'), np.str_('F'), np.str_('231D1'), np.str_('collect'), np.str_('able'), np.str_('be'), np.str_('CS')]","[0.13206, -0.1227, -0.11591, -0.10594, 0.08983, -0.0742, 0.03816, -0.02713]","LIME explains the fine-tuned DistilBERT prediction 'FR' with confidence 0.966. The most influential words according to local perturbations are: to, shall, F, 231D1, collect, able, be, CS.",LIME_TextExplainer_DistilBERT
2005 microcare,21,content_page,design_constraints,26,Date of submission should be current date,NFR,medium,0.9,0,0.97790146,FR,HIGH_CONFIDENCE,FR,FR,0.9779,"[np.str_('submission'), np.str_('should'), np.str_('current'), np.str_('be'), np.str_('Date'), np.str_('date'), np.str_('of')]","[0.03916, -0.02551, -0.01971, -0.01937, -0.01581, 0.00851, 0.00392]","LIME explains the fine-tuned DistilBERT prediction 'FR' with confidence 0.978. The most influential words according to local perturbations are: submission, should, current, be, Date, date, of.",LIME_TextExplainer_DistilBERT
2005 clarus low,42,content_page,general_description,61,F-251D1 CS shall accept environmental,other,strong,0.6,1,0.8955238,NFR,HIGH_CONFIDENCE,NFR,NFR,0.8955,"[np.str_('F'), np.str_('shall'), np.str_('251D1'), np.str_('accept'), np.str_('environmental'), np.str_('CS')]","[0.19453, 0.16841, 0.12544, 0.10037, 0.09906, -0.00623]","LIME explains the fine-tuned DistilBERT prediction 'NFR' with confidence 0.896. The most influential words according to local perturbations are: F, shall, 251D1, accept, environmental, CS.",LIME_TextExplainer_DistilBERT
2001 elsfork,21,content_page,introduction,43,"behaviour of the installation is of such a nature, that it will only be met with moderate re-",other,soft,0.4,1,0.64703,NFR,LOW_CONFIDENCE_REVIEW,UNCERTAIN,NFR,0.647,"[np.str_('installation'), np.str_('is'), np.str_('moderate'), np.str_('will'), np.str_('behaviour'), np.str_('the'), np.str_('it'), np.str_('met')]","[0.26821, 0.14152, 0.12353, 0.10934, 0.10541, 0.10476, 0.04819, -0.02546]","LIME explains the fine-tuned DistilBERT prediction 'NFR' with confidence 0.647. The most influential words according to local perturbations are: installation, is, moderate, will, behaviour, the, it, met.",LIME_TextExplainer_DistilBERT
2001 ctc network,27,content_page,design_constraints,52,The GUI shall allow the data about an incident to be modified.,NFR,strong,1.0,0,0.958655,FR,HIGH_CONFIDENCE,FR,FR,0.9587,"[np.str_('allow'), np.str_('GUI'), np.str_('modified'), np.str_('the'), np.str_('incident'), np.str_('The'), np.str_('data'), np.str_('shall')]","[0.07382, -0.06764, -0.05502, 0.05227, -0.03181, -0.0249, -0.01798, 0.01517]","LIME explains the fine-tuned DistilBERT prediction 'FR' with confidence 0.959. The most influential words according to local perturbations are: allow, GUI, modified, the, incident, The, data, shall.",LIME_TextExplainer_DistilBERT
2007 eirene fun 7 scanned,81,content_page,introduction,9,11.3.22 The functional number registration facility shall be supported by all EIRENE user equipment: (M),other,strong,0.6,0,0.94315517,FR,HIGH_CONFIDENCE,FR,FR,0.9432,"[np.str_('by'), np.str_('all'), np.str_('supported'), np.str_('EIRENE'), np.str_('user'), np.str_('be'), np.str_('facility'), np.str_('11')]","[0.07091, -0.05189, -0.04873, 0.03878, -0.03499, -0.03203, -0.02901, -0.02117]","LIME explains the fine-tuned DistilBERT prediction 'FR' with confidence 0.943. The most influential words according to local perturbations are: by, all, supported, EIRENE, user, be, facility, 11.",LIME_TextExplainer_DistilBERT
2003 tachonet,52,content_page,introduction,29,performance (the logging mechanism should not impede overall TACHOnet,other,medium,0.5,1,0.70188177,NFR,LOW_CONFIDENCE_REVIEW,UNCERTAIN,NFR,0.7019,"[np.str_('performance'), np.str_('logging'), np.str_('impede'), np.str_('the'), np.str_('should'), np.str_('TACHOnet'), np.str_('mechanism'), np.str_('overall')]","[0.40516, 0.19963, 0.17739, -0.12551, 0.08116, -0.07878, 0.0527, 0.04859]","LIME explains the fine-tuned DistilBERT prediction 'NFR' with confidence 0.702. The most influential words according to local perturbations are: performance, logging, impede, the, should, TACHOnet, mechanism, overall.",LIME_TextExplainer_DistilBERT
2009 email scanned,4,content_page,,8,d) The plan must identify any existing e-mail infrastructure that should be considered for reuse_,unknown,strong,0.6,0,0.89869106,FR,HIGH_CONFIDENCE,FR,FR,0.8987,"[np.str_('infrastructure'), np.str_('identify'), np.str_('e'), np.str_('reuse_'), np.str_('that'), np.str_('considered'), np.str_('plan'), np.str_('The')]","[-0.05029, -0.0374, -0.03166, -0.03089, 0.02953, 0.02945, -0.02409, 0.01879]","LIME explains the fine-tuned DistilBERT prediction 'FR' with confidence 0.899. The most influential words according to local perturbations are: infrastructure, identify, e, reuse_, that, considered, plan, The.",LIME_TextExplainer_DistilBERT
