section_id,section_title,evidence_rank,evidence_type,evidence_requirement_type,evidence_section_label,evidence_similarity,evidence_text,explanation
3,Functional Requirements,1,HIGH_QUALITY_REQUIREMENT,FR,introduction,0.2361,"Functional requirements specify actions that a system must be able to perform,",This evidence was retrieved because it is semantically similar to the requested section 'Functional Requirements' and project context.
3,Functional Requirements,2,HIGH_QUALITY_REQUIREMENT,FR,design_constraints,0.2351,"Functional requirements specify actions that a system must be able to perform,",This evidence was retrieved because it is semantically similar to the requested section 'Functional Requirements' and project context.
3,Functional Requirements,3,HIGH_QUALITY_REQUIREMENT,FR,introduction,0.23,• The authoring tool should allow the functional requirements specification of the,This evidence was retrieved because it is semantically similar to the requested section 'Functional Requirements' and project context.
3,Functional Requirements,4,HIGH_QUALITY_REQUIREMENT,FR,appendices,0.2237,diagnostic will be enumerated and described under the functional requirements section.,This evidence was retrieved because it is semantically similar to the requested section 'Functional Requirements' and project context.
3,Functional Requirements,5,HIGH_QUALITY_REQUIREMENT,FR,appendices,0.1698,Functional requirements: A statement of a piece of required functionality or a behavior that a system will exhibit under specific conditions,This evidence was retrieved because it is semantically similar to the requested section 'Functional Requirements' and project context.
4,Non-Functional Requirements,1,HIGH_QUALITY_REQUIREMENT,NFR,introduction,0.1865,"system performance), availability (high availability must be guaranteed through",This evidence was retrieved because it is semantically similar to the requested section 'Non-Functional Requirements' and project context.
4,Non-Functional Requirements,2,HIGH_QUALITY_REQUIREMENT,NFR,appendices,0.1625,CRS0129 Reliability and Maintainability. The system shall demonstrate a,This evidence was retrieved because it is semantically similar to the requested section 'Non-Functional Requirements' and project context.
4,Non-Functional Requirements,3,HIGH_QUALITY_REQUIREMENT,NFR,,0.1593,6. Non functional requirements 6.1.Usability It is mandatory that learning time is between 2 to 4 hours at maximum; because many task are delegated to working students. Web interface should use clear and consistence terminology in such a way that user; with basic experience On internet and office; find the application easy to use,This evidence was retrieved because it is semantically similar to the requested section 'Non-Functional Requirements' and project context.
4,Non-Functional Requirements,4,HIGH_QUALITY_REQUIREMENT,UNCERTAIN,,0.1382,"that will be considered when developing the APAF data system include: reliability, maintainability,",This evidence was retrieved because it is semantically similar to the requested section 'Non-Functional Requirements' and project context.
4,Non-Functional Requirements,5,HIGH_QUALITY_REQUIREMENT,NFR,appendices,0.1191,"1.4 Project Scope According to GAMMA-J's Functional Needs Statement this Web Store will: Manage customer accounts Manage an online store inventory Manage a customer's ""Shopping Cart"" Confirm Orders Have an unambiguous interface to assist in browsing the categories and products Use Secure Socket Layer (SSL) for security Have an availability of 99.999% Allow an optional mirror site for reliability and backups Feature interface for future software enhancement via 'Plug-ins"" The initial inventory will be 100 items Expandable with unique codes, the owners can purchase to expand the inventory: The minimum total inventory will be 20,000 items_ Since this will be a ""Plug and Play device no software installation will be necessary. This software will contain all of the basic needs to manage an online store. Advanced needs can be added in the future via ""plug-ins. More detail on the functionality of the Web Store can be found in part 3. System Features and in the function Needs statement",This evidence was retrieved because it is semantically similar to the requested section 'Non-Functional Requirements' and project context.
5,Interface Requirements,1,HIGH_QUALITY_REQUIREMENT,FR,appendices,0.1911,same document. The actual user interface will be described in a separate user interface,This evidence was retrieved because it is semantically similar to the requested section 'Interface Requirements' and project context.
5,Interface Requirements,2,HIGH_QUALITY_REQUIREMENT,FR,appendices,0.1804,with TAMPS.[SSS565] The interface requirements and specifications will be defined in the TCS to,This evidence was retrieved because it is semantically similar to the requested section 'Interface Requirements' and project context.
5,Interface Requirements,3,HIGH_QUALITY_REQUIREMENT,FR,appendices,0.1804,with AFMSS.[SSS564] The interface requirements and specifications will be defined in the TCS to,This evidence was retrieved because it is semantically similar to the requested section 'Interface Requirements' and project context.
5,Interface Requirements,4,HIGH_QUALITY_REQUIREMENT,FR,appendices,0.1804,with JSIPS-N. [SSS294] The interface requirements and specifications will be defined in the TCS to,This evidence was retrieved because it is semantically similar to the requested section 'Interface Requirements' and project context.
5,Interface Requirements,5,HIGH_QUALITY_REQUIREMENT,FR,appendices,0.1794,with AFATDS. [SSS295] The interface requirements and specifications will be defined in the TCS to,This evidence was retrieved because it is semantically similar to the requested section 'Interface Requirements' and project context.
6,Performance Requirements,1,HIGH_QUALITY_REQUIREMENT,FR,introduction,0.152,The system must be able to define and manage various type of,This evidence was retrieved because it is semantically similar to the requested section 'Performance Requirements' and project context.
6,Performance Requirements,2,HIGH_QUALITY_REQUIREMENT,FR,design_constraints,0.1356,The Data Collector Requirements define what must be stored on the Data Collector. The,This evidence was retrieved because it is semantically similar to the requested section 'Performance Requirements' and project context.
6,Performance Requirements,3,HIGH_QUALITY_REQUIREMENT,FR,introduction,0.1226,"functional or performance requirements, which the final product must meet. The project manager",This evidence was retrieved because it is semantically similar to the requested section 'Performance Requirements' and project context.
6,Performance Requirements,4,HIGH_QUALITY_REQUIREMENT,FR,appendices,0.1147,"The TCS shall provide the capability to create waypoints that define the desired flight path, define AV",This evidence was retrieved because it is semantically similar to the requested section 'Performance Requirements' and project context.
6,Performance Requirements,5,HIGH_QUALITY_REQUIREMENT,FR,functional_requirements,0.1145,5.1.4. Transfer outside university should be approved by the university group,This evidence was retrieved because it is semantically similar to the requested section 'Performance Requirements' and project context.
7,Security Requirements,1,HIGH_QUALITY_REQUIREMENT,FR,appendices,0.1582,CRS0144 The CR-TUAV will meet the minimum protection requirements of,This evidence was retrieved because it is semantically similar to the requested section 'Security Requirements' and project context.
7,Security Requirements,2,HIGH_QUALITY_REQUIREMENT,FR,design_constraints,0.15,The Data Collector Requirements define what must be stored on the Data Collector. The,This evidence was retrieved because it is semantically similar to the requested section 'Security Requirements' and project context.
7,Security Requirements,3,HIGH_QUALITY_REQUIREMENT,FR,introduction,0.147,The system must be able to define and manage various type of,This evidence was retrieved because it is semantically similar to the requested section 'Security Requirements' and project context.
7,Security Requirements,4,HIGH_QUALITY_REQUIREMENT,NFR,appendices,0.1351,The TCS shall be capable of meeting the operational and physical security requirements of the,This evidence was retrieved because it is semantically similar to the requested section 'Security Requirements' and project context.
7,Security Requirements,5,HIGH_QUALITY_REQUIREMENT,FR,appendices,0.1109,"The TCS shall provide the capability to create waypoints that define the desired flight path, define AV",This evidence was retrieved because it is semantically similar to the requested section 'Security Requirements' and project context.
8,Acceptance Criteria,1,HIGH_QUALITY_REQUIREMENT,FR,introduction,0.169,The system must be able to define and manage various type of,This evidence was retrieved because it is semantically similar to the requested section 'Acceptance Criteria' and project context.
8,Acceptance Criteria,2,HIGH_QUALITY_REQUIREMENT,FR,appendices,0.1275,"The TCS shall provide the capability to create waypoints that define the desired flight path, define AV",This evidence was retrieved because it is semantically similar to the requested section 'Acceptance Criteria' and project context.
8,Acceptance Criteria,3,HIGH_QUALITY_REQUIREMENT,FR,functional_requirements,0.1272,5.1.4. Transfer outside university should be approved by the university group,This evidence was retrieved because it is semantically similar to the requested section 'Acceptance Criteria' and project context.
8,Acceptance Criteria,4,HIGH_QUALITY_REQUIREMENT,UNCERTAIN,functional_requirements,0.1124,search criteria. The interface will be compatible with all major web browsers such as,This evidence was retrieved because it is semantically similar to the requested section 'Acceptance Criteria' and project context.
8,Acceptance Criteria,5,HIGH_QUALITY_REQUIREMENT,FR,functional_requirements,0.1094,or products. The inventory management will allow for administrators to update the,This evidence was retrieved because it is semantically similar to the requested section 'Acceptance Criteria' and project context.
9,Risks and Assumptions,1,HIGH_QUALITY_REQUIREMENT,FR,design_constraints,0.1447,D.No subsystem package should make any assumptions about the surrounding envi-,This evidence was retrieved because it is semantically similar to the requested section 'Risks and Assumptions' and project context.
9,Risks and Assumptions,2,HIGH_QUALITY_REQUIREMENT,FR,functional_requirements,0.1209,5.1.4. Transfer outside university should be approved by the university group,This evidence was retrieved because it is semantically similar to the requested section 'Risks and Assumptions' and project context.
9,Risks and Assumptions,3,HIGH_QUALITY_REQUIREMENT,FR,appendices,0.1075,The C2C project will be implemented using the evolving ITS Traffic Management Data,This evidence was retrieved because it is semantically similar to the requested section 'Risks and Assumptions' and project context.
9,Risks and Assumptions,4,HIGH_QUALITY_REQUIREMENT,FR,functional_requirements,0.104,or products. The inventory management will allow for administrators to update the,This evidence was retrieved because it is semantically similar to the requested section 'Risks and Assumptions' and project context.
9,Risks and Assumptions,5,HIGH_QUALITY_REQUIREMENT,NFR,appendices,0.1028,"1.4 Project Scope According to GAMMA-J's Functional Needs Statement this Web Store will: Manage customer accounts Manage an online store inventory Manage a customer's ""Shopping Cart"" Confirm Orders Have an unambiguous interface to assist in browsing the categories and products Use Secure Socket Layer (SSL) for security Have an availability of 99.999% Allow an optional mirror site for reliability and backups Feature interface for future software enhancement via 'Plug-ins"" The initial inventory will be 100 items Expandable with unique codes, the owners can purchase to expand the inventory: The minimum total inventory will be 20,000 items_ Since this will be a ""Plug and Play device no software installation will be necessary. This software will contain all of the basic needs to manage an online store. Advanced needs can be added in the future via ""plug-ins. More detail on the functionality of the Web Store can be found in part 3. System Features and in the function Needs statement",This evidence was retrieved because it is semantically similar to the requested section 'Risks and Assumptions' and project context.
10,Conclusion,1,HIGH_QUALITY_REQUIREMENT,FR,functional_requirements,0.1281,5.1.4. Transfer outside university should be approved by the university group,This evidence was retrieved because it is semantically similar to the requested section 'Conclusion' and project context.
10,Conclusion,2,HIGH_QUALITY_REQUIREMENT,FR,appendices,0.1139,The C2C project will be implemented using the evolving ITS Traffic Management Data,This evidence was retrieved because it is semantically similar to the requested section 'Conclusion' and project context.
10,Conclusion,3,HIGH_QUALITY_REQUIREMENT,FR,functional_requirements,0.1102,or products. The inventory management will allow for administrators to update the,This evidence was retrieved because it is semantically similar to the requested section 'Conclusion' and project context.
10,Conclusion,4,HIGH_QUALITY_REQUIREMENT,NFR,appendices,0.1089,"1.4 Project Scope According to GAMMA-J's Functional Needs Statement this Web Store will: Manage customer accounts Manage an online store inventory Manage a customer's ""Shopping Cart"" Confirm Orders Have an unambiguous interface to assist in browsing the categories and products Use Secure Socket Layer (SSL) for security Have an availability of 99.999% Allow an optional mirror site for reliability and backups Feature interface for future software enhancement via 'Plug-ins"" The initial inventory will be 100 items Expandable with unique codes, the owners can purchase to expand the inventory: The minimum total inventory will be 20,000 items_ Since this will be a ""Plug and Play device no software installation will be necessary. This software will contain all of the basic needs to manage an online store. Advanced needs can be added in the future via ""plug-ins. More detail on the functionality of the Web Store can be found in part 3. System Features and in the function Needs statement",This evidence was retrieved because it is semantically similar to the requested section 'Conclusion' and project context.
10,Conclusion,5,HIGH_QUALITY_REQUIREMENT,FR,appendices,0.1088,The TCS shall have the functionality necessary to manage all aspects of C4I system interfaces to,This evidence was retrieved because it is semantically similar to the requested section 'Conclusion' and project context.
