kb_type,source,text,section_label,requirement_type,quality_score,quality_level,metadata,rag_text,similarity,generated_section_id,generated_section_title
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,management. The tool should provide for configuration management of fixed data.,appendices,FR,84.91,GOOD,"{'doc_id': '2003 pnnl', 'page_num': 12, 'ambiguity': 'UNCERTAIN', 'vision_page_type': 'appendix_page'}",HIGH_QUALITY_REQUIREMENT appendices FR management. The tool should provide for configuration management of fixed data.,0.11963826679537119,2,General Description
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,"that will be considered when developing the APAF data system include: reliability, maintainability,",,UNCERTAIN,74.74,GOOD,"{'doc_id': '2001 esa', 'page_num': 14, 'ambiguity': 'CLEAR', 'vision_page_type': 'content_page'}","HIGH_QUALITY_REQUIREMENT nan UNCERTAIN that will be considered when developing the APAF data system include: reliability, maintainability,",0.106677631326353,2,General Description
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,or products. The inventory management will allow for administrators to update the,functional_requirements,FR,95.21,EXCELLENT,"{'doc_id': '0000 gamma j', 'page_num': 7, 'ambiguity': 'CLEAR', 'vision_page_type': 'content_page'}",HIGH_QUALITY_REQUIREMENT functional_requirements FR or products. The inventory management will allow for administrators to update the,0.1036957091449108,2,General Description
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,The TCS software shall be Defense Information Infrastructure/Common Operating Environment,appendices,UNCERTAIN,80.84,GOOD,"{'doc_id': '1999 tcs', 'page_num': 73, 'ambiguity': 'CLEAR', 'vision_page_type': 'content_page'}",HIGH_QUALITY_REQUIREMENT appendices UNCERTAIN The TCS software shall be Defense Information Infrastructure/Common Operating Environment,0.10114406203422605,2,General Description
REWRITE_EXAMPLE,c10_llm_requirement_rewrites,"Original: The system should support multi-tier authentication where required
Improved: The system shall support multi-tier authentication when it is required.",requirement_improvement,NFR,91.25,STRONG_REWRITE,"{'doc_id': '0000 cctns', 'page_num': 17, 'issues': ""['ambiguous_requirement', 'deep_model_low_quality_risk', 'low_visual_confidence', 'nfr_missing_numeric_target', 'nfr_missing_threshold']"", 'recommendations': ""['Rewrite the requirement to remove ambiguity and make the expected behavior explicit.', 'Add a measurable numeric target such as response time, availability percentage, throughput, capacity, or error rate.', 'Add a threshold expression such as within, at least, at most, maximum, or minimum.', 'Inspect the source page image because the vision model has low confidence.']""}","REWRITE_EXAMPLE requirement_improvement NFR Original: The system should support multi-tier authentication where required
Improved: The system shall support multi-tier authentication when it is required.",0.10062934818338523,2,General Description
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,Server authentication shall ensure the client application that it is truly operating on the in-,introduction,NFR,85.01,EXCELLENT,"{'doc_id': '2001 elsfork', 'page_num': 28, 'ambiguity': 'CLEAR', 'vision_page_type': 'content_page'}",HIGH_QUALITY_REQUIREMENT introduction NFR Server authentication shall ensure the client application that it is truly operating on the in-,0.10040890139400913,2,General Description
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,"Functional requirements specify actions that a system must be able to perform,",introduction,FR,95.2,EXCELLENT,"{'doc_id': '2003 tachonet', 'page_num': 10, 'ambiguity': 'CLEAR', 'vision_page_type': 'content_page'}","HIGH_QUALITY_REQUIREMENT introduction FR Functional requirements specify actions that a system must be able to perform,",0.1697099913920811,3,Functional Requirements
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,"Functional requirements specify actions that a system must be able to perform,",design_constraints,FR,96.84,EXCELLENT,"{'doc_id': '2003 tachonet', 'page_num': 6, 'ambiguity': 'CLEAR', 'vision_page_type': 'content_page'}","HIGH_QUALITY_REQUIREMENT design_constraints FR Functional requirements specify actions that a system must be able to perform,",0.16901099229550484,3,Functional Requirements
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,• The authoring tool should allow the functional requirements specification of the,introduction,FR,92.08,EXCELLENT,"{'doc_id': '2001 beyond', 'page_num': 19, 'ambiguity': 'CLEAR', 'vision_page_type': 'appendix_page'}",HIGH_QUALITY_REQUIREMENT introduction FR • The authoring tool should allow the functional requirements specification of the,0.16536792918026771,3,Functional Requirements
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,diagnostic will be enumerated and described under the functional requirements section.,appendices,FR,94.47,EXCELLENT,"{'doc_id': '2003 pnnl', 'page_num': 12, 'ambiguity': 'CLEAR', 'vision_page_type': 'appendix_page'}",HIGH_QUALITY_REQUIREMENT appendices FR diagnostic will be enumerated and described under the functional requirements section.,0.1607969046823193,3,Functional Requirements
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,"system performance), availability (high availability must be guaranteed through",introduction,NFR,83.5,GOOD,"{'doc_id': '2003 tachonet', 'page_num': 52, 'ambiguity': 'CLEAR', 'vision_page_type': 'content_page'}","HIGH_QUALITY_REQUIREMENT introduction NFR system performance), availability (high availability must be guaranteed through",0.13964965993520867,3,Functional Requirements
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,6. Non functional requirements 6.1.Usability It is mandatory that learning time is between 2 to 4 hours at maximum; because many task are delegated to working students. Web interface should use clear and consistence terminology in such a way that user; with basic experience On internet and office; find the application easy to use,,NFR,82.59,GOOD,"{'doc_id': '0000 inventory scanned', 'page_num': 8, 'ambiguity': 'CLEAR', 'vision_page_type': 'toc_page'}",HIGH_QUALITY_REQUIREMENT nan NFR 6. Non functional requirements 6.1.Usability It is mandatory that learning time is between 2 to 4 hours at maximum; because many task are delegated to working students. Web interface should use clear and consistence terminology in such a way that user; with basic experience On internet and office; find the application easy to use,0.13110669690930477,3,Functional Requirements
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,CRS0129 Reliability and Maintainability. The system shall demonstrate a,appendices,NFR,84.53,GOOD,"{'doc_id': '1999 tcs', 'page_num': 142, 'ambiguity': 'CLEAR', 'vision_page_type': 'content_page'}",HIGH_QUALITY_REQUIREMENT appendices NFR CRS0129 Reliability and Maintainability. The system shall demonstrate a,0.12361491298873314,3,Functional Requirements
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,Functional requirements: A statement of a piece of required functionality or a behavior that a system will exhibit under specific conditions,appendices,FR,96.25,EXCELLENT,"{'doc_id': '0000 gamma j scanned', 'page_num': 24, 'ambiguity': 'CLEAR', 'vision_page_type': 'appendix_page'}",HIGH_QUALITY_REQUIREMENT appendices FR Functional requirements: A statement of a piece of required functionality or a behavior that a system will exhibit under specific conditions,0.1220693098214685,3,Functional Requirements
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,"system performance), availability (high availability must be guaranteed through",introduction,NFR,83.5,GOOD,"{'doc_id': '2003 tachonet', 'page_num': 52, 'ambiguity': 'CLEAR', 'vision_page_type': 'content_page'}","HIGH_QUALITY_REQUIREMENT introduction NFR system performance), availability (high availability must be guaranteed through",0.24227243648367988,4,Non-Functional Requirements
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,CRS0129 Reliability and Maintainability. The system shall demonstrate a,appendices,NFR,84.53,GOOD,"{'doc_id': '1999 tcs', 'page_num': 142, 'ambiguity': 'CLEAR', 'vision_page_type': 'content_page'}",HIGH_QUALITY_REQUIREMENT appendices NFR CRS0129 Reliability and Maintainability. The system shall demonstrate a,0.21107800393753273,4,Non-Functional Requirements
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,"that will be considered when developing the APAF data system include: reliability, maintainability,",,UNCERTAIN,74.74,GOOD,"{'doc_id': '2001 esa', 'page_num': 14, 'ambiguity': 'CLEAR', 'vision_page_type': 'content_page'}","HIGH_QUALITY_REQUIREMENT nan UNCERTAIN that will be considered when developing the APAF data system include: reliability, maintainability,",0.17953857976860868,4,Non-Functional Requirements
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,6. Non functional requirements 6.1.Usability It is mandatory that learning time is between 2 to 4 hours at maximum; because many task are delegated to working students. Web interface should use clear and consistence terminology in such a way that user; with basic experience On internet and office; find the application easy to use,,NFR,82.59,GOOD,"{'doc_id': '0000 inventory scanned', 'page_num': 8, 'ambiguity': 'CLEAR', 'vision_page_type': 'toc_page'}",HIGH_QUALITY_REQUIREMENT nan NFR 6. Non functional requirements 6.1.Usability It is mandatory that learning time is between 2 to 4 hours at maximum; because many task are delegated to working students. Web interface should use clear and consistence terminology in such a way that user; with basic experience On internet and office; find the application easy to use,0.11814816646579672,4,Non-Functional Requirements
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,5.4 Availability Requirements The system shall have an availability of 99.99%.,interface_requirements,NFR,86.54,EXCELLENT,"{'doc_id': '0000 gamma j scanned', 'page_num': 21, 'ambiguity': 'CLEAR', 'vision_page_type': 'content_page'}",HIGH_QUALITY_REQUIREMENT interface_requirements NFR 5.4 Availability Requirements The system shall have an availability of 99.99%.,0.10343683110650972,4,Non-Functional Requirements
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,management. The tool should provide for configuration management of fixed data.,appendices,FR,84.91,GOOD,"{'doc_id': '2003 pnnl', 'page_num': 12, 'ambiguity': 'UNCERTAIN', 'vision_page_type': 'appendix_page'}",HIGH_QUALITY_REQUIREMENT appendices FR management. The tool should provide for configuration management of fixed data.,0.10067567230053703,4,Non-Functional Requirements
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,"1.4 Project Scope According to GAMMA-J's Functional Needs Statement this Web Store will: Manage customer accounts Manage an online store inventory Manage a customer's ""Shopping Cart"" Confirm Orders Have an unambiguous interface to assist in browsing the categories and products Use Secure Socket Layer (SSL) for security Have an availability of 99.999% Allow an optional mirror site for reliability and backups Feature interface for future software enhancement via 'Plug-ins"" The initial inventory will be 100 items Expandable with unique codes, the owners can purchase to expand the inventory: The minimum total inventory will be 20,000 items_ Since this will be a ""Plug and Play device no software installation will be necessary. This software will contain all of the basic needs to manage an online store. Advanced needs can be added in the future via ""plug-ins. More detail on the functionality of the Web Store can be found in part 3. System Features and in the function Needs statement",appendices,NFR,78.52,GOOD,"{'doc_id': '0000 gamma j scanned', 'page_num': 4, 'ambiguity': 'CLEAR', 'vision_page_type': 'appendix_page'}","HIGH_QUALITY_REQUIREMENT appendices NFR 1.4 Project Scope According to GAMMA-J's Functional Needs Statement this Web Store will: Manage customer accounts Manage an online store inventory Manage a customer's ""Shopping Cart"" Confirm Orders Have an unambiguous interface to assist in browsing the categories and products Use Secure Socket Layer (SSL) for security Have an availability of 99.999% Allow an optional mirror site for reliability and backups Feature interface for future software enhancement via 'Plug-ins"" The initial inventory will be 100 items Expandable with unique codes, the owners can purchase to expand the inventory: The minimum total inventory will be 20,000 items_ Since this will be a ""Plug and Play device no software installation will be necessary. This software will contain all of the basic needs to manage an online store. Advanced needs can be added in the future via ""plug-ins. More detail on the functionality of the Web Store can be found in part 3. System Features and in the function Needs statement",0.09489856412671639,4,Non-Functional Requirements
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,"should contribute to the simplicity (S), reliability (Rl), maintainability (M), reusability (Ru), and testability (T) of the",design_constraints,NFR,72.76,GOOD,"{'doc_id': '2001 telescope', 'page_num': 38, 'ambiguity': 'UNCERTAIN', 'vision_page_type': 'content_page'}","HIGH_QUALITY_REQUIREMENT design_constraints NFR should contribute to the simplicity (S), reliability (Rl), maintainability (M), reusability (Ru), and testability (T) of the",0.09108986641897114,4,Non-Functional Requirements
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,same document. The actual user interface will be described in a separate user interface,appendices,FR,90.71,EXCELLENT,"{'doc_id': '2004 colorcast', 'page_num': 5, 'ambiguity': 'CLEAR', 'vision_page_type': 'content_page'}",HIGH_QUALITY_REQUIREMENT appendices FR same document. The actual user interface will be described in a separate user interface,0.13925346645957834,5,Interface Requirements
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,"system performance), availability (high availability must be guaranteed through",introduction,NFR,83.5,GOOD,"{'doc_id': '2003 tachonet', 'page_num': 52, 'ambiguity': 'CLEAR', 'vision_page_type': 'content_page'}","HIGH_QUALITY_REQUIREMENT introduction NFR system performance), availability (high availability must be guaranteed through",0.13761980227798953,5,Interface Requirements
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,with JSIPS-N. [SSS294] The interface requirements and specifications will be defined in the TCS to,appendices,FR,96.55,EXCELLENT,"{'doc_id': '1999 tcs', 'page_num': 43, 'ambiguity': 'CLEAR', 'vision_page_type': 'content_page'}",HIGH_QUALITY_REQUIREMENT appendices FR with JSIPS-N. [SSS294] The interface requirements and specifications will be defined in the TCS to,0.13143568088746102,5,Interface Requirements
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,with AFMSS.[SSS564] The interface requirements and specifications will be defined in the TCS to,appendices,FR,96.05,EXCELLENT,"{'doc_id': '1999 tcs', 'page_num': 44, 'ambiguity': 'CLEAR', 'vision_page_type': 'content_page'}",HIGH_QUALITY_REQUIREMENT appendices FR with AFMSS.[SSS564] The interface requirements and specifications will be defined in the TCS to,0.13143568088746102,5,Interface Requirements
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,with TAMPS.[SSS565] The interface requirements and specifications will be defined in the TCS to,appendices,FR,95.87,EXCELLENT,"{'doc_id': '1999 tcs', 'page_num': 44, 'ambiguity': 'CLEAR', 'vision_page_type': 'content_page'}",HIGH_QUALITY_REQUIREMENT appendices FR with TAMPS.[SSS565] The interface requirements and specifications will be defined in the TCS to,0.13143568088746102,5,Interface Requirements
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,with COMPASS. [SSS310] The interface requirements and specifications will be defined in TCS to,appendices,FR,96.44,EXCELLENT,"{'doc_id': '1999 tcs', 'page_num': 45, 'ambiguity': 'CLEAR', 'vision_page_type': 'content_page'}",HIGH_QUALITY_REQUIREMENT appendices FR with COMPASS. [SSS310] The interface requirements and specifications will be defined in TCS to,0.13069805952376942,5,Interface Requirements
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,with AFATDS. [SSS295] The interface requirements and specifications will be defined in the TCS to,appendices,FR,96.54,EXCELLENT,"{'doc_id': '1999 tcs', 'page_num': 43, 'ambiguity': 'CLEAR', 'vision_page_type': 'content_page'}",HIGH_QUALITY_REQUIREMENT appendices FR with AFATDS. [SSS295] The interface requirements and specifications will be defined in the TCS to,0.13069805952376942,5,Interface Requirements
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,The Gemini 8m Telescopes software must interface to the external software and,design_constraints,FR,98.0,EXCELLENT,"{'doc_id': '1995 gemini', 'page_num': 46, 'ambiguity': 'CLEAR', 'vision_page_type': 'content_page'}",HIGH_QUALITY_REQUIREMENT design_constraints FR The Gemini 8m Telescopes software must interface to the external software and,0.12166949532006134,5,Interface Requirements
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,"system performance), availability (high availability must be guaranteed through",introduction,NFR,83.5,GOOD,"{'doc_id': '2003 tachonet', 'page_num': 52, 'ambiguity': 'CLEAR', 'vision_page_type': 'content_page'}","HIGH_QUALITY_REQUIREMENT introduction NFR system performance), availability (high availability must be guaranteed through",0.16171933354931317,6,Performance Requirements
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,CRS0129 Reliability and Maintainability. The system shall demonstrate a,appendices,NFR,84.53,GOOD,"{'doc_id': '1999 tcs', 'page_num': 142, 'ambiguity': 'CLEAR', 'vision_page_type': 'content_page'}",HIGH_QUALITY_REQUIREMENT appendices NFR CRS0129 Reliability and Maintainability. The system shall demonstrate a,0.12050139898343767,6,Performance Requirements
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,management. The tool should provide for configuration management of fixed data.,appendices,FR,84.91,GOOD,"{'doc_id': '2003 pnnl', 'page_num': 12, 'ambiguity': 'UNCERTAIN', 'vision_page_type': 'appendix_page'}",HIGH_QUALITY_REQUIREMENT appendices FR management. The tool should provide for configuration management of fixed data.,0.11494858895295504,6,Performance Requirements
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,The system must be able to define and manage various type of,introduction,FR,96.56,EXCELLENT,"{'doc_id': '2003 tachonet', 'page_num': 10, 'ambiguity': 'CLEAR', 'vision_page_type': 'content_page'}",HIGH_QUALITY_REQUIREMENT introduction FR The system must be able to define and manage various type of,0.1078533061738338,6,Performance Requirements
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,"functional or performance requirements, which the final product must meet. The project manager",introduction,FR,93.77,EXCELLENT,"{'doc_id': '2004 colorcast', 'page_num': 3, 'ambiguity': 'CLEAR', 'vision_page_type': 'appendix_page'}","HIGH_QUALITY_REQUIREMENT introduction FR functional or performance requirements, which the final product must meet. The project manager",0.10717381736224221,6,Performance Requirements
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,The system should ensure high scalability and performance through:,non_functional_requirements,NFR,82.76,GOOD,"{'doc_id': '0000 cctns', 'page_num': 18, 'ambiguity': 'CLEAR', 'vision_page_type': 'content_page'}",HIGH_QUALITY_REQUIREMENT non_functional_requirements NFR The system should ensure high scalability and performance through:,0.10680131812004998,6,Performance Requirements
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,"that will be considered when developing the APAF data system include: reliability, maintainability,",,UNCERTAIN,74.74,GOOD,"{'doc_id': '2001 esa', 'page_num': 14, 'ambiguity': 'CLEAR', 'vision_page_type': 'content_page'}","HIGH_QUALITY_REQUIREMENT nan UNCERTAIN that will be considered when developing the APAF data system include: reliability, maintainability,",0.10249599498780322,6,Performance Requirements
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,Operator and maintainer performance shall be measurable using parameters retrievable from the,appendices,UNCERTAIN,73.27,GOOD,"{'doc_id': '1999 tcs', 'page_num': 104, 'ambiguity': 'CLEAR', 'vision_page_type': 'content_page'}",HIGH_QUALITY_REQUIREMENT appendices UNCERTAIN Operator and maintainer performance shall be measurable using parameters retrievable from the,0.1006652787022277,6,Performance Requirements
REWRITE_EXAMPLE,c10_llm_requirement_rewrites,"Original: The system should support multi-tier authentication where required
Improved: The system shall support multi-tier authentication when it is required.",requirement_improvement,NFR,91.25,STRONG_REWRITE,"{'doc_id': '0000 cctns', 'page_num': 17, 'issues': ""['ambiguous_requirement', 'deep_model_low_quality_risk', 'low_visual_confidence', 'nfr_missing_numeric_target', 'nfr_missing_threshold']"", 'recommendations': ""['Rewrite the requirement to remove ambiguity and make the expected behavior explicit.', 'Add a measurable numeric target such as response time, availability percentage, throughput, capacity, or error rate.', 'Add a threshold expression such as within, at least, at most, maximum, or minimum.', 'Inspect the source page image because the vision model has low confidence.']""}","REWRITE_EXAMPLE requirement_improvement NFR Original: The system should support multi-tier authentication where required
Improved: The system shall support multi-tier authentication when it is required.",0.13670508467323267,7,Security Requirements
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,"system performance), availability (high availability must be guaranteed through",introduction,NFR,83.5,GOOD,"{'doc_id': '2003 tachonet', 'page_num': 52, 'ambiguity': 'CLEAR', 'vision_page_type': 'content_page'}","HIGH_QUALITY_REQUIREMENT introduction NFR system performance), availability (high availability must be guaranteed through",0.1303732029316355,7,Security Requirements
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,The TCS shall be capable of meeting the operational and physical security requirements of the,appendices,NFR,82.96,GOOD,"{'doc_id': '1999 tcs', 'page_num': 82, 'ambiguity': 'CLEAR', 'vision_page_type': 'content_page'}",HIGH_QUALITY_REQUIREMENT appendices NFR The TCS shall be capable of meeting the operational and physical security requirements of the,0.11951352409263913,7,Security Requirements
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,management. The tool should provide for configuration management of fixed data.,appendices,FR,84.91,GOOD,"{'doc_id': '2003 pnnl', 'page_num': 12, 'ambiguity': 'UNCERTAIN', 'vision_page_type': 'appendix_page'}",HIGH_QUALITY_REQUIREMENT appendices FR management. The tool should provide for configuration management of fixed data.,0.11581592391418578,7,Security Requirements
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,CRS0129 Reliability and Maintainability. The system shall demonstrate a,appendices,NFR,84.53,GOOD,"{'doc_id': '1999 tcs', 'page_num': 142, 'ambiguity': 'CLEAR', 'vision_page_type': 'content_page'}",HIGH_QUALITY_REQUIREMENT appendices NFR CRS0129 Reliability and Maintainability. The system shall demonstrate a,0.11358665410378313,7,Security Requirements
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,CRS0144 The CR-TUAV will meet the minimum protection requirements of,appendices,FR,94.83,EXCELLENT,"{'doc_id': '1999 tcs', 'page_num': 144, 'ambiguity': 'CLEAR', 'vision_page_type': 'content_page'}",HIGH_QUALITY_REQUIREMENT appendices FR CRS0144 The CR-TUAV will meet the minimum protection requirements of,0.1093954219961187,7,Security Requirements
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,Server authentication shall ensure the client application that it is truly operating on the in-,introduction,NFR,85.01,EXCELLENT,"{'doc_id': '2001 elsfork', 'page_num': 28, 'ambiguity': 'CLEAR', 'vision_page_type': 'content_page'}",HIGH_QUALITY_REQUIREMENT introduction NFR Server authentication shall ensure the client application that it is truly operating on the in-,0.10815992557779312,7,Security Requirements
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,"that will be considered when developing the APAF data system include: reliability, maintainability,",,UNCERTAIN,74.74,GOOD,"{'doc_id': '2001 esa', 'page_num': 14, 'ambiguity': 'CLEAR', 'vision_page_type': 'content_page'}","HIGH_QUALITY_REQUIREMENT nan UNCERTAIN that will be considered when developing the APAF data system include: reliability, maintainability,",0.10376457459429728,7,Security Requirements
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,"system performance), availability (high availability must be guaranteed through",introduction,NFR,83.5,GOOD,"{'doc_id': '2003 tachonet', 'page_num': 52, 'ambiguity': 'CLEAR', 'vision_page_type': 'content_page'}","HIGH_QUALITY_REQUIREMENT introduction NFR system performance), availability (high availability must be guaranteed through",0.1473214218486897,8,Acceptance Criteria
HIGH_QUALITY_REQUIREMENT,c11_final_requirement_report,CRS0129 Reliability and Maintainability. The system shall demonstrate a,appendices,NFR,84.53,GOOD,"{'doc_id': '1999 tcs', 'page_num': 142, 'ambiguity': 'CLEAR', 'vision_page_type': 'content_page'}",HIGH_QUALITY_REQUIREMENT appendices NFR CRS0129 Reliability and Maintainability. The system shall demonstrate a,0.12835265997399328,8,Acceptance Criteria
